concept:name,time:timestamp,case:concept:name
A,1970-04-26 19:46:40+00:00,0
g,1970-04-26 19:46:41+00:00,0
f,1970-04-26 19:46:42+00:00,0
e,1970-04-26 19:46:43+00:00,0
j,1970-04-26 19:46:44+00:00,0
k,1970-04-26 19:46:45+00:00,0
j,1970-04-26 19:46:46+00:00,0
l,1970-04-26 19:46:47+00:00,0
n,1970-04-26 19:46:48+00:00,0
o,1970-04-26 19:46:49+00:00,0
i,1970-04-26 19:46:50+00:00,0
l,1970-04-26 19:46:51+00:00,0
o,1970-04-26 19:46:52+00:00,0
m,1970-04-26 19:46:53+00:00,0
h,1970-04-26 19:46:54+00:00,0
o,1970-04-26 19:46:55+00:00,0
l,1970-04-26 19:46:56+00:00,0
n,1970-04-26 19:46:57+00:00,0
h,1970-04-26 19:46:58+00:00,0
p,1970-04-26 19:46:59+00:00,0
A,1970-04-26 19:47:00+00:00,1
g,1970-04-26 19:47:01+00:00,1
e,1970-04-26 19:47:02+00:00,1
f,1970-04-26 19:47:03+00:00,1
j,1970-04-26 19:47:04+00:00,1
p,1970-04-26 19:47:05+00:00,1
A,1970-04-26 19:47:06+00:00,2
f,1970-04-26 19:47:07+00:00,2
e,1970-04-26 19:47:08+00:00,2
g,1970-04-26 19:47:09+00:00,2
j,1970-04-26 19:47:10+00:00,2
k,1970-04-26 19:47:11+00:00,2
j,1970-04-26 19:47:12+00:00,2
k,1970-04-26 19:47:13+00:00,2
j,1970-04-26 19:47:14+00:00,2
o,1970-04-26 19:47:15+00:00,2
n,1970-04-26 19:47:16+00:00,2
l,1970-04-26 19:47:17+00:00,2
j,1970-04-26 19:47:18+00:00,2
k,1970-04-26 19:47:19+00:00,2
j,1970-04-26 19:47:20+00:00,2
p,1970-04-26 19:47:21+00:00,2
A,1970-04-26 19:47:22+00:00,3
f,1970-04-26 19:47:23+00:00,3
g,1970-04-26 19:47:24+00:00,3
e,1970-04-26 19:47:25+00:00,3
h,1970-04-26 19:47:26+00:00,3
p,1970-04-26 19:47:27+00:00,3
A,1970-04-26 19:47:28+00:00,4
d,1970-04-26 19:47:29+00:00,4
c,1970-04-26 19:47:30+00:00,4
b,1970-04-26 19:47:31+00:00,4
h,1970-04-26 19:47:32+00:00,4
p,1970-04-26 19:47:33+00:00,4
A,1970-04-26 19:47:34+00:00,5
e,1970-04-26 19:47:35+00:00,5
g,1970-04-26 19:47:36+00:00,5
f,1970-04-26 19:47:37+00:00,5
i,1970-04-26 19:47:38+00:00,5
p,1970-04-26 19:47:39+00:00,5
A,1970-04-26 19:47:40+00:00,6
c,1970-04-26 19:47:41+00:00,6
b,1970-04-26 19:47:42+00:00,6
d,1970-04-26 19:47:43+00:00,6
i,1970-04-26 19:47:44+00:00,6
p,1970-04-26 19:47:45+00:00,6
A,1970-04-26 19:47:46+00:00,7
g,1970-04-26 19:47:47+00:00,7
f,1970-04-26 19:47:48+00:00,7
e,1970-04-26 19:47:49+00:00,7
h,1970-04-26 19:47:50+00:00,7
p,1970-04-26 19:47:51+00:00,7
A,1970-04-26 19:47:52+00:00,8
g,1970-04-26 19:47:53+00:00,8
e,1970-04-26 19:47:54+00:00,8
f,1970-04-26 19:47:55+00:00,8
i,1970-04-26 19:47:56+00:00,8
o,1970-04-26 19:47:57+00:00,8
l,1970-04-26 19:47:58+00:00,8
m,1970-04-26 19:47:59+00:00,8
i,1970-04-26 19:48:00+00:00,8
p,1970-04-26 19:48:01+00:00,8
A,1970-04-26 19:48:02+00:00,9
e,1970-04-26 19:48:03+00:00,9
g,1970-04-26 19:48:04+00:00,9
f,1970-04-26 19:48:05+00:00,9
j,1970-04-26 19:48:06+00:00,9
k,1970-04-26 19:48:07+00:00,9
